"","period","latent"
"95",1989.02,59.0854132834828
"96",1989.03,59.3734108366196
"97",1989.04,49.2578778935103
"98",1989.05,56.7370383911371
"99",1989.06,58.7407919045516
"100",1989.07,60.0678686876863
"101",1989.08,61.256846929223
"102",1989.09,59.4435879972986
"103",1989.1,54.7213378198318
"104",1989.11,49.127272718952
"105",1989.12,50.4999350018818
"106",1990.01,53.7058440924029
"107",1990.02,55.4932747960492
"108",1990.03,49.4481510776882
"109",1990.04,49.0447669302735
"110",1990.05,49.4295829090373
"111",1990.06,45.5104825659423
"112",1990.07,43.6446060249725
"113",1990.08,45.1171045228456
"114",1990.09,49.1641714546432
"115",1990.1,38.0436009589343
"116",1990.11,37.3416756069943
"117",1990.12,39.9833791923694
"118",1991.01,41.6175916708169
"119",1991.02,43.0567991127085
"120",1991.03,44.9998839648601
"121",1991.04,41.9998554292629
"122",1991.05,42.5302930083146
"123",1991.06,42.3343599918523
"124",1991.07,35.8334027827908
"125",1991.08,38.9665158654612
"126",1991.09,38.7226389525742
"127",1991.1,35.5767439055195
"128",1991.11,31.1265241660152
"129",1991.12,22.1204204475993
"130",1992.01,22.6827828920609
"131",1992.02,24.3959232010718
"132",1992.03,24.3596691457957
"133",1992.04,25.6906064972293
"134",1992.05,24.6064966192474
"135",1992.06,21.1755814039495
"136",1992.07,21.6258103793707
"137",1992.08,22.9329162941034
"138",1992.09,24.4211432402401
"139",1992.1,24.2394823728294
"140",1992.11,23.6731113701661
"141",1992.12,22.5549251520977
"142",1993.01,23.8776904270046
"143",1993.02,44.9938380372753
"144",1993.03,46.7310041456362
"145",1993.04,47.0016608451546
"146",1993.05,38.411832222713
"147",1993.06,37.2367288469195
"148",1993.07,35.755199126313
"149",1993.08,35.7557292011664
"150",1993.09,38.4878825187815
"151",1993.1,39.6641728887307
"152",1993.11,40.0961317328146
"153",1993.12,45.8675148871893
"154",1994.01,45.9824703720326
"155",1994.02,47.4004248018087
"156",1994.03,48.1207878309495
"157",1994.04,44.8179599039261
"158",1994.05,46.9953820377378
"159",1994.06,44.372802233627
"160",1994.07,37.9013825210121
"161",1994.08,41.57065374895
"162",1994.09,43.1037137418306
"163",1994.1,40.6834390871186
"164",1994.11,41.4719638992275
"165",1994.12,42.0968401943119
"166",1995.01,45.3790051742556
"167",1995.02,46.1553924680236
"168",1995.03,46.5722148545246
"169",1995.04,41.7321731144953
"170",1995.05,43.1662975899465
"171",1995.06,41.9535890194459
"172",1995.07,45.0815110779235
"173",1995.08,43.0617966285738
"174",1995.09,44.5460867229523
